name,description,alcohol_percentage,bitterness,country,taste_tags,beer_type,style
Aldaris Pilzenes,"Aldaris Pilzenes - это классическое светлое пиво, произведенное в Латвии. Оно обладает чистым и освежающим вкусом с легкими нотками солода и хмеля. Это пиво идеально подходит для тех, кто ценит традиционные лагеры с мягким и сбалансированным вкусом. Aldaris Pilzenes отличается своей прозрачностью и золотистым цветом, что делает его привлекательным для любителей светлого пива. Оно хорошо сочетается с различными блюдами, включая мясные и рыбные закуски.",5.0,низкая,Латвия,"освежающее, сбалансированное, солодовое",светлое,лагер
Балтика 2 Светлое,"Балтика 2 Светлое — это освежающее светлое пиво с мягким вкусом и легким ароматом хмеля. Оно обладает сбалансированным вкусом с легкими солодовыми нотками и умеренной горечью. Это пиво идеально подходит для тех, кто предпочитает легкие и освежающие напитки. Балтика 2 Светлое является одним из популярных сортов пива в России и пользуется спросом благодаря своему качеству и доступной цене.",4.7,низкая,Россия,"освежающее, легкое, сбалансированное",светлое,лагер
Балтика 1 Легкое,"Балтика 1 Легкое - это освежающее светлое пиво с легким и мягким вкусом. Оно обладает приятной сладостью и легкой горечью, что делает его идеальным для тех, кто предпочитает менее насыщенные сорта. Пиво имеет светло-золотистый цвет и прозрачность, что придает ему привлекательный внешний вид. Аромат легкий, с нотками солода и хмеля. Это пиво отлично подходит для жарких летних дней и легких закусок.",4.0,низкая,Россия,"легкое, освежающее, сладость, светлое",светлое,лагер
Балтика 11 Классическое,"Балтика 11 Классическое — это светлое пиво, которое отличается мягким вкусом и приятным ароматом. Оно обладает сбалансированным сочетанием солодовых и хмелевых нот, что делает его подходящим для широкого круга потребителей. Пиво имеет золотистый цвет и прозрачность, что подчеркивает его свежесть. Балтика 11 идеально подходит для тех, кто ценит классический вкус и высокое качество. Это пиво хорошо сочетается с различными блюдами, от легких закусок до более сытных блюд.",4.8,средняя,Россия,"мягкий, сбалансированный, солодовый, хмелевой",светлое,лагер
Арсенальное Классическое Светлое,"Арсенальное Классическое Светлое - это популярное российское пиво, известное своим мягким вкусом и освежающим характером. Оно обладает золотистым цветом и легким ароматом солода. Это пиво идеально подходит для повседневного употребления благодаря своему сбалансированному вкусу и умеренной горечи. Оно хорошо сочетается с различными блюдами и закусками, делая его универсальным выбором для любителей пива.",4.5,низкая,Россия,"мягкое, освежающее, сбалансированное",светлое,лагер
Арсенальное Крепкое №9,"Арсенальное Крепкое №9 - это крепкое светлое пиво, которое отличается насыщенным вкусом и характерной горечью. Оно обладает плотным телом и выраженным солодовым ароматом. Это пиво идеально подходит для тех, кто предпочитает более крепкие напитки с богатым вкусом. Оно может сопровождать как мясные блюда, так и сыры, подчеркивая их вкусовые качества. Арсенальное Крепкое №9 популярно среди любителей крепкого пива благодаря своему сбалансированному вкусу и аромату.",8,средняя,Россия,"крепкое, солодовое, горькое, насыщенное",светлое,лагер
Арсенальное Темное,"Арсенальное Темное - это насыщенное темное пиво с богатым ароматом и глубоким вкусом. Оно обладает карамельными и шоколадными нотками, которые прекрасно сочетаются с легкой горечью. Это пиво отличается плотной пеной и мягким послевкусием. Оно идеально подходит для тех, кто ценит насыщенные и сложные вкусы. Арсенальное Темное часто выбирают для неспешного наслаждения в уютной обстановке.",4.5,низкая,Россия,"карамель, шоколад, мягкое, насыщенное",темное,лагер
Жигули Барное Классическое,"Жигули Барное Классическое - это светлое пиво, которое сочетает в себе традиции и современный подход к пивоварению. Оно обладает мягким вкусом с легкими солодовыми нотами и освежающим послевкусием. Пиво имеет золотистый цвет и прозрачность, что делает его привлекательным для глаз. Это пиво подходит для различных поводов и может быть хорошим выбором как для повседневного употребления, так и для праздничных мероприятий.",4.9,низкая,Россия,"мягкое, солодовое, освежающее",светлое,лагер
Жигули Барное Премиум,"Жигули Барное Премиум - это светлое пиво, которое отличается мягким вкусом и легкой горечью. Оно производится по традиционным рецептам с использованием отборного солода и хмеля. Пиво обладает золотистым цветом и приятным ароматом с нотками хлеба и меда. Это пиво идеально подходит для тех, кто ценит классические вкусы и высокое качество. Оно хорошо сочетается с различными блюдами, от закусок до основных блюд.",4.9,низкая,Россия,"мягкое, хлебный аромат, медовые нотки, классическое",светлое,лагер
Тагильское Свежее,"Тагильское Свежее - это освежающее светлое пиво, которое отличается легким и мягким вкусом. Оно обладает приятным ароматом солода и легкими фруктовыми нотками. Это пиво идеально подходит для тех, кто ищет что-то легкое и освежающее. Оно хорошо сочетается с легкими закусками и блюдами из рыбы. Тагильское Свежее производится с использованием традиционных методов пивоварения, что придает ему особый характер.",4.5,низкая,Россия,"легкое, освежающее, солодовое, фруктовые нотки",светлое,лагер
Тагильское Классическое,"Тагильское Классическое - это традиционное российское пиво, известное своим сбалансированным вкусом и легкой питкостью. Оно обладает мягким солодовым ароматом с легкими нотками хмеля. Это пиво идеально подходит для повседневного употребления благодаря своему освежающему характеру и умеренной горечи. Его золотистый цвет и чистый вкус делают его популярным выбором среди любителей классического лагера.",4.5,низкая,Россия,"сбалансированное, легкое, освежающее",светлое,лагер
Пивзавод Москва Пильзнер,"Пивзавод Москва Пильзнер - это классический представитель стиля пильзнер, отличающийся свежестью и легкостью. Пиво обладает золотистым цветом и чистым вкусом с легкими нотками хмеля. Оно идеально подходит для тех, кто ценит традиционные лагеры с умеренной горечью и освежающим послевкусием. Пиво сварено с использованием лучших сортов солода и хмеля, что придает ему характерный аромат и вкус.",4.8,средняя,Россия,"свежесть, легкость, хмель, традиционный",светлое,пильзнер
Пивзавод Москва IPA,"Пивзавод Москва IPA - это освежающее и ароматное пиво, которое характеризуется яркими цитрусовыми и тропическими нотами. Оно обладает насыщенным хмелевым вкусом с легкой горечью, которая приятно сбалансирована сладостью солода. Это пиво идеально подходит для любителей интенсивных вкусов и ароматов.",6.5,высокая,Россия,"цитрусовый, тропический, хмелевой, горький",светлое,IPA
Jaws Lager,"Jaws Lager - это освежающее светлое пиво, которое отличается чистым и мягким вкусом. Оно обладает легким ароматом солода с тонкими нотками хмеля. Это пиво идеально подходит для тех, кто ценит классический вкус лагера. Оно обладает сбалансированной горечью и приятным послевкусием. Jaws Lager отлично сочетается с легкими закусками и блюдами из рыбы.",4.5,средняя,Россия,"освежающее, сбалансированное, легкое",светлое,лагер
Volkovskaya Session IPA,"Volkovskaya Session IPA - это легкое и освежающее пиво с характерным ароматом хмеля. Оно обладает яркими цитрусовыми и тропическими нотами, что делает его идеальным для жарких летних дней. Пиво имеет сбалансированную горечь и легкое тело, что позволяет наслаждаться им в течение длительного времени. Это отличный выбор для тех, кто ищет что-то легкое, но с насыщенным вкусом.",4.5,средняя,Россия,"цитрусовый, тропический, освежающий, легкий",светлое,IPA
AF Brew Mango Milkshake IPA,"AF Brew Mango Milkshake IPA - это крафтовое пиво, сочетающее в себе яркие тропические ароматы манго с характерной горечью IPA. Это пиво обладает кремовой текстурой благодаря добавлению лактозы, что придаёт ему молочный оттенок. Вкус насыщенный и фруктовый, с мягким послевкусием. Это идеальный выбор для любителей экспериментальных сортов пива, которые ищут что-то необычное и освежающее.",6.5,средняя,Россия,"фруктовое, тропическое, кремовое, освежающее",светлое,IPA
AF Brew Berry Berliner Weisse,"AF Brew Berry Berliner Weisse - это освежающее кислое пиво с добавлением ягод, которое предлагает уникальное сочетание фруктовых и кисловатых нот. Этот стиль пива, традиционно происходящий из Берлина, известен своей легкостью и освежающим характером. Вкус пива насыщен ягодными оттенками, что делает его идеальным для летнего дня. Оно обладает ярким ароматом и мягким послевкусием. Пиво имеет светлый цвет и легкую пену, что подчеркивает его освежающие свойства.",3.5,низкая,Россия,"кислое, ягодное, освежающее, фруктовое",светлое,Berliner Weisse
AF Brew Non-Alcoholic IPA,"AF Brew Non-Alcoholic IPA - это безалкогольное пиво, которое сохраняет характерные черты классического IPA. Оно обладает ярким хмелевым ароматом с нотами цитрусовых и тропических фруктов. Вкус освежающий, с легкой сладостью и умеренной горечью, что делает его отличным выбором для тех, кто хочет насладиться вкусом IPA без алкоголя. Это пиво идеально подходит для тех, кто следит за потреблением алкоголя, но не хочет отказываться от насыщенного вкуса.",0.5,средняя,Россия,"цитрусовые, тропические фрукты, освежающее, умеренная горечь",светлое,IPA
Victory Sour Monkey,"Victory Sour Monkey - это уникальное пиво, которое сочетает в себе традиции бельгийского трипеля и кислинку, характерную для кислых элей. Оно обладает сложным вкусом с нотами цитрусовых, пряностей и легкой сладости. Это пиво отличается ярким ароматом и освежающим послевкусием, что делает его идеальным выбором для любителей необычных вкусовых сочетаний.",9.5,средняя,США,"кислое, цитрусовое, пряное, освежающее",светлое,бельгийский трипель
Dogfish Head Slightly Mighty,"Dogfish Head Slightly Mighty - это легкий и освежающий IPA с низким содержанием калорий и углеводов. Он обладает ярким ароматом тропических фруктов благодаря использованию хмеля Monk Fruit. Это пиво идеально подходит для тех, кто ищет вкусный IPA с меньшим содержанием калорий. Оно сохраняет характерный хмелевой вкус и аромат, несмотря на свою легкость.",4.0,средняя,США,"легкое, тропические фрукты, освежающее, низкокалорийное",светлое,IPA
BrewDog Vagabond Pale Ale,"BrewDog Vagabond Pale Ale - это безглютеновое пиво, которое сочетает в себе классический вкус американского пейл-эля с современными нотками. Оно обладает ярким ароматом тропических фруктов и цитрусовых, которые гармонично сочетаются с легкой солодовой основой. Это пиво отличается сбалансированной горечью и освежающим послевкусием, что делает его идеальным выбором для любителей хмелевых напитков. Vagabond Pale Ale подходит как для тех, кто придерживается безглютеновой диеты, так и для всех, кто ценит качественное крафтовое пиво.",4.5,55,Шотландия,"тропические фрукты, цитрусовые, хмелевое, освежающее, безглютеновое",светлое,пейл-эль
BrewDog Indie Pale Ale,"BrewDog Indie Pale Ale - это легкое и освежающее пиво, созданное для повседневного наслаждения. Оно обладает мягким вкусом с нотками тропических фруктов и легкой горечью. Это пиво идеально подходит для тех, кто ищет баланс между традиционным элем и современными вкусовыми тенденциями. Indie Pale Ale имеет чистый и свежий финиш, который делает его отличным выбором для любого случая.",4.2,средняя,Шотландия,"освежающее, фруктовое, легкое",светлое,Pale Ale
BrewDog Pale Ale Light,"BrewDog Pale Ale Light - это легкий и освежающий эль, который предлагает классический вкус с современным подходом. Он обладает сбалансированным профилем с нотками цитрусовых и тропических фруктов. Это пиво идеально подходит для тех, кто ищет легкость и свежесть в каждом глотке. Оно имеет мягкую горечь и чистый финиш, что делает его отличным выбором для любого случая.",неизвестно,средняя,Шотландия,"легкий, цитрусовый, освежающий, фруктовый, сбалансированный",светлое,эль
BrewDog Planet Pale,"BrewDog Planet Pale - это освежающее светлое пиво с яркими цитрусовыми и тропическими нотами. Оно обладает легким телом и чистым послевкусием, что делает его идеальным для любого случая. Это пиво создано с использованием лучших хмелей, которые придают ему характерный аромат и вкус. Planet Pale - это отличный выбор для тех, кто ищет что-то легкое и ароматное. Это пиво также поддерживает экологические инициативы, направленные на защиту планеты.",4.3,средняя,Шотландия,"цитрусовый, тропический, освежающий, легкий",светлое,Pale Ale
BrewDog Lost AF,"BrewDog Lost AF - это безалкогольное пиво, которое предлагает освежающий вкус с нотками цитрусовых и легкой горечью. Оно является частью линейки безалкогольных напитков от BrewDog, созданных для тех, кто хочет насладиться вкусом пива без алкоголя. Lost AF обладает легким телом и чистым послевкусием, что делает его идеальным выбором для любого времени дня. Это пиво подходит для тех, кто ищет альтернативу традиционным алкогольным напиткам, сохраняя при этом насыщенность вкуса.",0.5,низкая,Шотландия,"цитрусовый, освежающий, легкий",светлое,лагер
BrewDog Overworks,"BrewDog Overworks - это линейка пива от шотландской пивоварни BrewDog, специализирующаяся на диких и кислых элях. Эти сорта пива отличаются сложными вкусами, которые достигаются благодаря использованию диких дрожжей и выдержке в бочках. Пиво из этой серии часто имеет фруктовые и кисловатые ноты, а также может содержать различные добавки, такие как ягоды или специи. Overworks предлагает уникальный опыт дегустации, который понравится любителям экспериментальных и необычных сортов пива.",неизвестно,неизвестно,Шотландия,"кислое, фруктовое, сложное, экспериментальное",другое,дикий эль
Mikkeller Running Club Pale Ale,"Mikkeller Running Club Pale Ale - это освежающее пиво, созданное для любителей активного образа жизни. Оно обладает легким и сбалансированным вкусом с нотками цитрусовых и тропических фруктов. Это пиво идеально подходит для тех, кто хочет насладиться вкусом без излишней тяжести. Оно имеет умеренную горечь и чистый, освежающий финиш.",4.5,средняя,Дания,"цитрусовый, тропический, освежающий, легкий",светлое,Pale Ale
To Øl Garden of Eden,"To Øl Garden of Eden - это фруктовый IPA, который выделяется своим уникальным сочетанием тропических фруктов. Пиво обладает ярким ароматом манго, папайи, гуава и маракуйи, что придаёт ему освежающий и экзотический вкус. Оно имеет золотистый цвет и умеренную пену. Вкус сбалансирован между сладостью фруктов и хмелевой горечью, что делает его идеальным для любителей экспериментальных сортов. Это пиво подходит для тех, кто ищет что-то необычное и освежающее.",6.4,средняя,Дания,"фруктовый, тропический, освежающий, экзотический",светлое,IPA
To Øl Cloud 9 Wit,"To Øl Cloud 9 Wit - это освежающее пиво в бельгийском стиле, известное своей легкостью и фруктовыми нотками. Оно обладает мягким вкусом с оттенками цитрусовых и специй, что делает его идеальным выбором для теплой погоды. Это пиво варится с добавлением пшеницы, что придает ему характерную мутность и легкость. В аромате можно уловить ноты кориандра и апельсиновой цедры, которые добавляют глубину и сложность. Cloud 9 Wit - это отличный пример классического бельгийского витбира с современным подходом.",5.0,низкая,Дания,"освежающее, цитрусовое, специи, легкое, фруктовое",светлое,витбир
Jever Fun,"Jever Fun - это безалкогольное пиво, производимое в Германии. Оно известно своим освежающим вкусом и характерной горечью, которая сохраняется даже при отсутствии алкоголя. Пиво обладает легким и чистым ароматом с нотками хмеля. Оно идеально подходит для тех, кто хочет насладиться вкусом пива без воздействия алкоголя. Jever Fun является отличным выбором для водителей и тех, кто следит за своим здоровьем.",0.5,высокая,Германия,"освежающее, горькое, хмелевое, легкое",светлое,лагер
Veltins Radler,"Veltins Radler - это освежающий напиток, сочетающий в себе светлое пиво и лимонад. Он обладает легким и освежающим вкусом, идеально подходящим для жарких летних дней. Радлеры, как правило, имеют низкое содержание алкоголя и отличаются сладковатым вкусом с цитрусовыми нотками. Veltins Radler предлагает приятный баланс между сладостью лимонада и легкой горечью пива. Это популярный выбор для тех, кто ищет легкий и освежающий напиток.",2.4,низкая,Германия,"освежающий, цитрусовый, легкий, сладковатый",светлое,радлер
Krombacher Radler,"Krombacher Radler - это освежающий напиток, который сочетает в себе традиционное немецкое пиво и лимонад. Он обладает легким и освежающим вкусом с цитрусовыми нотками, что делает его идеальным для жарких летних дней. Этот напиток отличается низким содержанием алкоголя и приятной сладостью, что делает его популярным выбором среди тех, кто предпочитает более легкие напитки. Krombacher Radler производится из высококачественных ингредиентов, включая чистую родниковую воду из региона Зауэрланд.",2.5,низкая,Германия,"освежающий, цитрусовый, легкий, сладкий",светлое,радлер
Krombacher Non-Alcoholic,"Krombacher Non-Alcoholic - это безалкогольное пиво, которое предлагает освежающий вкус и аромат, характерные для традиционного немецкого лагера. Оно обладает легким и чистым вкусом с нотками солода и хмеля. Это пиво идеально подходит для тех, кто хочет насладиться вкусом пива без алкоголя. Оно также является отличным выбором для активного образа жизни, так как содержит меньше калорий, чем обычное пиво.",0.0,низкая,Германия,"освежающее, легкое, сладковатое, солодовое",светлое,лагер
Rothaus Pils Tannenzäpfle,"Rothaus Pils Tannenzäpfle — это классический немецкий пилснер, известный своим чистым и освежающим вкусом. Пиво обладает светло-золотистым цветом и плотной белой пеной. В аромате ощущаются ноты хмеля и солода, создающие гармоничный баланс. Вкус характеризуется легкой горечью и свежестью, что делает его идеальным для утоления жажды. Это пиво производится в пивоварне Rothaus, расположенной в Шварцвальде, и является одним из самых популярных пилснеров в Германии.",5.1,средняя,Германия,"освежающее, хмелевое, солодовое, чистое",светлое,пилснер
Heineken Light,"Heineken Light - это легкое пиво с освежающим вкусом, которое отличается низким содержанием калорий и алкоголя. Оно обладает мягким ароматом с нотками солода и хмеля. Пиво имеет светло-золотистый цвет и чистый, освежающий вкус. Благодаря своему сбалансированному профилю, оно подходит для тех, кто ищет легкое и освежающее пиво. Heineken Light идеально подходит для жарких летних дней и дружеских встреч.",3.3,низкая,Нидерланды,"легкое, освежающее, сбалансированное, низкокалорийное",светлое,лагер
Heineken Draft,"Heineken Draft - это освежающее светлое пиво, известное своим сбалансированным вкусом и мягким послевкусием. Оно обладает легким ароматом солода и хмеля, что делает его идеальным выбором для тех, кто предпочитает классический лагерь. Пиво имеет чистый и освежающий вкус с легкими фруктовыми нотками. Благодаря своей универсальности, Heineken Draft подходит для различных поводов и хорошо сочетается с разнообразными блюдами.",5.0,низкая,Нидерланды,"освежающее, сбалансированное, легкое",светлое,лагер
Carlsberg Elephant,"Carlsberg Elephant — это крепкий лагер с богатым и насыщенным вкусом. Он обладает сложным ароматом, в котором сочетаются ноты сладкого солода и фруктов. Это пиво известно своим мощным характером и длительным послевкусием. Оно имеет золотистый цвет и плотную пену. Carlsberg Elephant идеально подходит для тех, кто ищет более интенсивные и насыщенные вкусовые ощущения. Это пиво часто выбирают для особых случаев и в качестве дополнения к разнообразным блюдам.",7.2,средняя,Дания,"сладкий, фруктовый, сильный, богатый",светлое,лагер
Carlsberg Premium,"Carlsberg Premium - это классический светлый лагер, известный своим освежающим вкусом и чистым послевкусием. Он обладает легким ароматом солода и хмеля, что делает его идеальным выбором для различных случаев. Пиво отличается сбалансированной горечью и мягким вкусом, который нравится многим любителям лагеров. Carlsberg Premium производится с использованием высококачественных ингредиентов и традиционных методов пивоварения, что обеспечивает его неизменно высокое качество.",5.0,средняя,Дания,"освежающий, легкий, сбалансированный, солодовый, хмелевой",светлое,лагер
Tuborg Red,"Tuborg Red - это особый сорт пива, который впервые был выпущен в 1875 году. Оно известно своим мягким и сбалансированным вкусом, который сочетает в себе сладость солода и легкую горечь хмеля. Это пиво обладает приятным ароматом и насыщенным янтарным цветом. Tuborg Red идеально подходит для тех, кто ищет что-то особенное и уникальное в мире пива. Оно часто подается на различных мероприятиях и праздниках, благодаря своему универсальному вкусу.",4.3,низкая,Дания,"сладость, мягкость, баланс, легкая горечь",янтарное,лагер
Tuborg Black,"Tuborg Black - это темное пиво с насыщенным вкусом и ароматом. Оно обладает глубоким карамельным и слегка шоколадным оттенком, что делает его идеальным выбором для любителей более сложных вкусов. Пиво имеет мягкую текстуру и умеренную горечь, что позволяет наслаждаться его вкусом без излишней резкости. Tuborg Black часто выбирают для неспешного наслаждения в уютной обстановке. Это пиво хорошо сочетается с мясными блюдами и сырами, подчеркивая их вкус. Оно также может быть отличным выбором для тех, кто ищет что-то новое и необычное в мире пива.",5.2,средняя,Дания,"карамельный, шоколадный, мягкий, умеренная горечь",темное,лагер
Tuborg Lime Cut,"Tuborg Lime Cut - это освежающее пиво с добавлением натурального сока лайма, которое предлагает легкий и фруктовый вкус. Оно идеально подходит для теплых летних дней благодаря своему освежающему характеру и легкому телу. Пиво обладает мягким ароматом лайма, который гармонично сочетается с традиционным вкусом лагера. Это пиво часто выбирают для неформальных встреч и вечеринок благодаря его легкости и доступности.",4.5,низкая,Дания,"освежающее, фруктовое, лайм, легкое",светлое,лагер
Tuborg Norsk,"Tuborg Norsk - это пиво, которое сочетает в себе традиции скандинавского пивоварения с современными технологиями. Оно обладает освежающим вкусом и легким ароматом, что делает его идеальным выбором для различных мероприятий. Пиво имеет сбалансированный вкус с легкими нотками хмеля и солода. Оно подходит как для самостоятельного употребления, так и в сочетании с легкими закусками.",4.5,низкая,Дания,"освежающее, легкое, сбалансированное",светлое,лагер
Corona Light,"Corona Light - это легкое и освежающее пиво с мягким вкусом и легкой горчинкой. Оно обладает светло-золотистым цветом и чистым, хрустящим послевкусием. Это пиво идеально подходит для теплой погоды и часто подается с долькой лайма для дополнительной свежести. Corona Light имеет низкое содержание калорий, что делает его популярным выбором для тех, кто следит за своим питанием. Оно хорошо сочетается с легкими блюдами, такими как салаты и морепродукты.",4.1,низкая,Мексика,"легкое, освежающее, цитрусовое, хрустящее, низкокалорийное",светлое,лагер
Modelo Especial,"Modelo Especial - это светлый мексиканский лагер, который отличается своим чистым и освежающим вкусом. Он обладает легким солодовым ароматом с нотками кукурузы и меда. Пиво имеет мягкий и сбалансированный вкус с легкой горечью, что делает его идеальным для жарких дней. Оно хорошо сочетается с мексиканской кухней, особенно с острыми блюдами. Modelo Especial популярно как в Мексике, так и за ее пределами благодаря своему универсальному вкусу.",4.4,низкая,Мексика,"освежающее, легкое, солодовое, мягкое",светлое,лагер
Sol,"Sol — это мексиканское светлое пиво, известное своим освежающим вкусом и легким характером. Оно обладает золотистым цветом и мягким ароматом, который идеально подходит для теплой погоды. Sol часто подают с долькой лайма, что подчеркивает его цитрусовые ноты. Это пиво имеет легкое тело и низкую горечь, что делает его популярным выбором для тех, кто предпочитает мягкие и освежающие напитки.",4.5,низкая,Мексика,"освежающее, легкое, цитрусовое, гладкое",светлое,лагер
Tecate,"Tecate - это мексиканское светлое пиво, известное своим освежающим вкусом и легким телом. Оно обладает золотистым цветом и мягким ароматом солода. Пиво Tecate часто подается с лаймом, что подчеркивает его освежающие качества. Оно популярно как в Мексике, так и за ее пределами, благодаря своему простому и чистому вкусу. Tecate идеально подходит для жарких дней и отлично сочетается с мексиканской кухней. Это пиво часто выбирают для вечеринок и барбекю.",4.5,низкая,Мексика,"освежающее, легкое, солодовое, цитрусовое",светлое,лагер
Dos Equis,"Dos Equis — это мексиканское пиво, известное своим освежающим вкусом и легким характером. Оно обладает золотистым цветом и мягким ароматом солода с легкими нотками хмеля. Пиво имеет гладкий и сбалансированный вкус с легкой сладостью и минимальной горечью, что делает его идеальным для жарких дней. Dos Equis часто подают с лаймом, чтобы подчеркнуть его освежающие качества. Это пиво популярно как в Мексике, так и за ее пределами, благодаря своему универсальному вкусу и способности сочетаться с различными блюдами.",4.2,низкая,Мексика,"освежающее, легкое, сладковатое, гладкое",светлое,лагер
Pacifico Clara,"Pacifico Clara - это мексиканское светлое пиво, известное своим освежающим и легким вкусом. Оно обладает золотистым цветом и чистым, хрустящим послевкусием. Это пиво идеально подходит для теплой погоды и часто подается с лаймом для дополнительной свежести. Pacifico Clara имеет мягкий аромат с нотами солода и легкой сладости. Оно популярно среди любителей легких и освежающих напитков.",4.5,низкая,Мексика,"освежающее, легкое, сладковатое, солодовое",светлое,лагер
Estrella Galicia,"Estrella Galicia - это освежающее светлое пиво, произведенное в Испании. Оно обладает сбалансированным вкусом с легкими нотками солода и хмеля. Пиво отличается чистым и мягким послевкусием, что делает его идеальным для употребления в жаркую погоду. Estrella Galicia имеет золотистый цвет и умеренную карбонизацию. Это пиво популярно как среди местных жителей, так и среди туристов благодаря своему качеству и доступности. Оно хорошо сочетается с различными блюдами, включая морепродукты и легкие закуски.",5.5,средняя,Испания,"освежающее, сбалансированное, легкое",светлое,лагер
